status_id,status_name,badge_color_hexcode,created_by
e582bfef-dd01-45f9-b7bd-ef6c0c3af755,Dead Lead,#c2e3c1,b09b3730-d021-4310-9cbc-d620c9964802
7c06f6ba-4c06-435d-a9b4-c78e8013bf72,Sale Lost,#b5dbc9,b09b3730-d021-4310-9cbc-d620c9964802
0a08461a-94e6-4936-b7c1-72dcbe115356,New Lead,#7fc7b6,b09b3730-d021-4310-9cbc-d620c9964802
99d175dd-6dd1-4c94-81b6-f9c0c561a6dd,Customer,#b6dcdc,b09b3730-d021-4310-9cbc-d620c9964802
08ec08ae-6843-4bd3-8625-8575536dc3f9,Door Knock,#acc3c3,b09b3730-d021-4310-9cbc-d620c9964802
98290f46-ed10-445d-812a-12707e543dd2,Calling,#729aac,b09b3730-d021-4310-9cbc-d620c9964802
02529b6f-dc74-4163-8569-b916c2f4cfff,DK Only,#ebc2bf,b09b3730-d021-4310-9cbc-d620c9964802
dc789421-ccf9-4053-9899-055332dfba56,Lapse / Cancel,#e6848f,b09b3730-d021-4310-9cbc-d620c9964802
bde7cef1-3800-4754-b212-4dafdba9a3f5,Appointment,#c05965,b09b3730-d021-4310-9cbc-d620c9964802
b68d4b5d-e2f6-44e1-a45e-41303e2d6918,Followup,#c2e3c1,b09b3730-d021-4310-9cbc-d620c9964802
a27e1fa1-9d78-4fb7-a329-2b054a840554,No Show,#b5dbc9,b09b3730-d021-4310-9cbc-d620c9964802